OBJECTID,Name,YearAnnexed,YearAnnexed_num,Shape_Length,Shape_Area
1,Old Town Longmont,1872,1872,20977.28822,27500238.3
2,Howze and Shiers addition,1903,1903,7829.611492,3447775.104
3,Wilcox Addition,1890,1890,2686.284578,450833.5232
4,Westerberg Subdivision,1946,1946,6382.121652,1904810.124
5,Gibson Addition,1945,1945,2228.552954,277878.1732
6,Gibson Additon No 2,1946,1946,2201.42552,290919.2315
7,Block 19 Hamanns Addition,1957,1957,3561.633626,515012.5303
8,Chicago Colorado Colony,1962,1962,3694.328405,698956.7806
9,Gorder-Harper Addition,1959,1959,3872.527741,819545.9614
10,Enclave twelve annexation,1990,1990,666.6449605,24656.33458
11,Meadow Ridge Annexation,1978,1978,5151.102412,754932.1813
12,Enclave eleven annexation,1990,1990,1261.834283,68308.92118
13,Meadows Addition,1972,1972,2805.74241,466305.7067
14,Crabtree Addition,1974,1974,611.1766124,23297.62481
15,Mountain View Addition,1950,1950,7970.611244,3109441.061
16,Oliver Addition,1962,1962,579.5484785,20860.50985
17,Oliver Addition II,1979,1979,2045.942219,93245.88244
18,Williamson Annexation,1977,1977,533.8762778,17293.32549
19,Clairmont Addition no 2,1967,1967,1320.587447,95730.72876
20,Westview Knolls Addition,1974,1974,2041.677621,227294.9285
21,Comer Annexation,1980,1980,806.0774598,25232.3799
22,Aalseth-Rahm Annexation,1985,1985,796.8776713,23736.03753
23,Wright Addition,1972,1972,958.3333852,50014.89907
24,Collyer Addition,1962,1962,3256.589461,508354.1779
25,Clairmont Addition,1964,1964,2001.958804,226680.11
26,Holiday Park no 4,1962,1962,3810.733187,733986.035
27,Grant Addition,1970,1970,2848.442448,520582.9031
28,Rademacher Addition,1979,1979,2258.98472,175735.3235
29,Bruns Annexation,1968,1968,2360.045634,290428.4343
30,Range View Acres,1966,1966,5227.818888,1374279.011
31,Holiday Park third filing,1962,1962,4419.748647,1052299.507
32,Holiday Park fifth filing,1963,1963,5816.54401,1162746.607
33,Hilltop Village second annexation,1970,1970,12347.09245,4782671.856
34,Park Ridge Annexation,1971,1971,7959.008098,3399656.277
35,Hein Subdivision,1963,1963,1816.934413,138259.1475
36,Park Ridge Annexation,1971,1971,4062.660821,921537.4565
37,Park Ridge Second Annexation,1974,1974,4761.846844,1268439.342
38,Park Ridge Third Addition,1975,1975,10192.28268,4553709.624
39,Rough and Ready Annexation,2004,2004,4198.871261,737730.524
40,Ordinance 944 annexation,1968,1968,6207.868367,1640726.238
41,Rees Subdivision and Addition No 3,1955,1955,837.9737986,41843.33124
42,Rees Subdivision and Addition No 2,1955,1955,775.3622913,36462.94801
43,Rees Subdivision and Addition,1955,1955,2485.63258,369393.6494
44,Kensington Place Addition,1954,1954,2645.920196,436850.4162
45,Kensington Place Addition A,1906,1906,2586.280756,418287.3835
46,Kensington Place Addition Block 3 and 4,1950,1950,2567.393629,411583.2757
47,Morningside Addition,1920,1920,2422.28822,366691.5238
48,Lashley Resubdivision and addition,1954,1954,2574.447639,413252.7178
49,East Side Subdivision,1968,1968,4068.807839,795698.9074
50,Andersons Addition,1961,1961,647.1764232,24393.95243
51,RG Annexation,2005,2005,2902.703572,145940.9124
52,Connor Subdivision,1955,1955,3388.525843,597375.5982
53,Longmont solid waste facility site annexation,1990,1990,3132.882221,511706.5446
54,Sunnyvale Addition,1970,1970,10788.95337,4675759.621
55,Sorento Addition,1975,1975,1868.988877,182926.8404
56,Enclave nineteen annexation,1990,1990,2045.598727,238630.3029
57,Skrbina 3rd filing,1969,1969,6500.414037,1741965.545
58,London Square Addition,1970,1970,10082.08447,3582745.989
59,Noreen Annexation,2006,2006,7073.812085,1035907.243
60,Hilleshog annexation,1997,1997,5860.907892,338300.8754
61,Hilleshog annexation,1997,1997,3243.491248,271110.0775
62,Hilleshog annexation,1997,1997,1011.203107,45557.10944
63,Sugar Mill Park annexation,1996,1996,8742.882794,1935831.624
64,McLane Annexation,1989,1989,24113.54495,8644721.222
65,Ludlow annexation,1999,1999,9446.550498,5766106.383
66,FHCC CC,2000,2000,2329.577675,253286.7033
67,Sugar Mill Park no 1,1996,1996,3103.71185,533928.9606
68,MS Strong Annexation,2004,2004,5139.531358,1648159.961
69,Old Sugar Mill Farm Annexation,1994,1994,6540.106377,2463641.553
70,Sugarmill annexation,2020,2020,3649.013092,685281.757
71,Golden Farm no 1,2008,2008,28490.48865,4233196.47
72,Ohmie annexation,2004,2004,4964.850551,1328355.5
73,Old Sugar Mill East,1996,1996,4739.809554,1059581.172
74,Gomer Annexation,2008,2008,957.3771285,57082.35879
75,Mayeda annexation,1998,1998,10698.62832,5892233.686
76,Sandstone ranch 1,1999,1999,15831.5121,8390681.346
77,Collins annexation,2012,2012,5627.916438,1951751.729
78,Sandstone ranch 2,1999,1999,5522.155249,1457723.127
79,St Vrain annexation 1,2010,2010,17594.82058,6100633.333
80,St vrain annexation 2,2010,2010,48045.82655,25418937.82
81,Sherwood annexation,2011,2011,15481.95858,9797413.94
82,St vrain annexation 3,2010,2010,7067.455783,2693545.386
83,St vrain annexation 4,2010,2010,2876.507187,518313.7818
84,Concepts direct annexation 2,1996,1996,10096.06263,6225248.049
85,Concepts direct annexation 1,1996,1996,5885.107815,1011895.384
86,Bolen Annexation,2005,2005,836.7523016,43758.90616
87,Alternative homes for youth annexation,2005,2005,780.4263763,38002.82905
88,Union Reservoir annexation 1,2005,2005,19976.61659,17473440.13
89,Adrian Annexation 2,2011,2011,11615.88236,5837599.865
90,Maruyama annexation,1999,1999,11923.02491,7752993.883
91,Rider Annexation,1997,1997,11974.78252,8610873.747
92,Bertolin annexation,2003,2003,1805.27393,203353.4837
93,East Longmont addition no 3,1988,1988,8973.665663,4261312.723
94,Red Fox Run annexation,2003,2003,2245.987912,290764.7493
95,FHCC clubhouse annexation,2000,2000,1217.772236,84622.8077
96,Skeffington annexation,2007,2007,5021.892213,534627.1986
97,Pace street station annexation,2001,2001,623.9557412,24238.10089
98,Pace street station annexation,2001,2001,636.2964207,25160.76493
99,Fox Hill Addition 3,1976,1976,7064.888684,2164733.899
100,Fox Hill Addition no 2,1974,1974,4374.398136,902741.4823
101,Rider Ridge,1979,1979,10636.09503,4709604.613
102,St Vrain Valley School District no 2,1976,1976,2385.326497,292908.2731
103,Skrbina fourth addition,1969,1969,9554.808716,3728844.637
104,Fox hill addition,1973,1973,8348.808084,1782221.244
105,Adrian annexation no 1,2011,2011,7007.436343,2702911.852
106,Union Reservoir annexation 2,2007,2007,60368.72145,41184279.26
107,French annexation,2007,2007,8008.78379,3685915.548
108,Union Reservoir annexation 3,2011,2011,11089.0452,6204713.112
109,Bogott annexation,2012,2012,8146.320907,3634862.303
110,Elmore annexation,2004,2004,7866.919268,3456705.574
111,Spring Valley Annexation,1994,1994,26570.6113,26623649.43
112,Montgomery Farm Annexation,1999,1999,1632.937802,118132.3486
113,Jim Hamm Nature Area Annexation,2001,2001,4989.695061,1493099.553
114,Hewlett Packard Annexation,1982,1982,15887.51213,13714308.51
115,Dodd estate Annexation,1996,1996,9066.839955,3870675.371
116,SVVSD no 1,1976,1976,5641.939128,1716990.59
117,Dodd Annexation,1984,1984,5681.880393,1267607.835
118,Hill Top Annexation,1964,1964,5605.724026,1948629.219
119,MS Addition,1977,1977,9392.314579,4881101.711
120,Pleasant Valley Annexation,1995,1995,11334.41956,6537028.955
121,Daniels Annexation,2006,2006,2604.26502,411120.6458
122,Lujan Addition,1990,1990,1215.277753,91628.07685
123,Heartland Addition Annexation,1987,1987,11012.84571,6670939.539
124,Meadow Street substation annexation,1989,1989,1677.43921,74035.46904
125,Mumford Heights,1967,1967,16520.45508,6712383.421
126,Barrett Utility Annexation,2008,2008,5257.146718,1730763.494
127,Walmart annexation phase 1,2004,2004,5331.77585,1724936.575
128,Walmart annexation phase 2,2004,2004,5419.403316,1837445.418
129,Sill Tilton Annexation,1969,1969,10649.51406,5730806.928
130,Macy Annexation,1978,1978,5389.177747,1356602.501
131,Park Crest Annexation,1982,1982,3501.146766,551399.972
132,Lanyon park subdivision,1965,1965,2411.788698,330069.2909
133,Wadsworth addition,1964,1964,3092.6623,569038.3533
134,Western Meadows addition,1969,1969,8465.675807,2947503.004
135,Pomona subdivision,1962,1962,3437.802421,438491.0058
136,Rosewood subdivision,1960,1960,3578.012147,590262.5607
137,Holiday Park second filing,1961,1961,3572.801801,616624.3005
138,Holiday Park,1960,1960,4126.599607,960150.0429
139,Franks Addition,1958,1958,1982.202046,210477.5254
140,Hamilton Heights addition,1956,1956,6971.716387,1272007.369
141,Leichliter first addition,1955,1955,1716.661485,176872.1231
142,Memorial addition,1952,1952,1252.516814,96948.76422
143,Carter Addition,1955,1955,1127.76608,76667.51387
144,Hamilton Heights addition 2,1956,1956,2569.699217,411346.9835
145,Browns center subdivision,1963,1963,3817.573903,753792.6028
146,Linda Vista,1959,1959,3149.441451,613280.2459
147,Yeager garden acres 4,1962,1962,3006.610268,560339.4219
148,Garden acres 5,1962,1962,7975.337743,2160329.144
149,Yeager garden acres 6,1968,1968,4170.855911,599979.4157
150,Garden greens addition 1,1969,1969,3866.477945,833863.9569
151,Garden greens addition 2,1970,1970,13235.62113,2540041.264
152,Yeager garden acres 7,1967,1967,2101.381241,254189.4229
153,Yeager garden acres 3,1961,1961,1975.749644,208390.1943
154,Johnsons corner addition,1962,1962,1656.032129,119162.5164
155,Enclave 8a annexation,1990,1990,2350.629292,212686.0877
156,Karl Elliott annexation,1977,1977,1573.449955,102119.5435
157,Longmont addition 1,1977,1977,758.3577574,30344.23643
158,Meinecke addition,1956,1956,2043.026453,221613.0195
159,Safeway annexation,1955,1955,2112.178476,252040.3802
160,Weston Addition,1966,1966,1963.95419,220809.7992
161,Mobile addition,1963,1963,1937.126503,210130.1084
162,Wrangler Addition,1964,1964,1939.277951,208830.6343
163,Braly addition,1970,1970,1986.110857,223198.7315
164,Burnhams addition,1956,1956,1949.408891,211332.3312
165,Burnhams second addition,1961,1961,971.9105289,50819.49331
166,Enclave 5b annexation,1990,1990,1810.721571,143599.5506
167,Pendletons addition,1961,1961,921.1527375,37118.12153
168,Enclave 8b annexation,1990,1990,2725.097797,464064.028
169,Keith addition,1975,1975,623.4481213,22810.03357
170,Paxton addition 3,1987,1987,2048.805413,211998.7137
171,Paxton addition lot 20,1969,1969,2028.729604,228046.3835
172,Cowling addition,1968,1968,2729.595017,461710.3976
173,enclave 9 annexation,1990,1990,3515.882843,547378.01
174,Rodriguez annexation,1977,1977,2469.343412,215501.5769
175,Enclave 10 annexation,1990,1990,629.6943637,23228.45168
176,Kemps redivision,1952,1952,1249.400324,87763.97762
177,Lanham addition,1978,1978,1129.263124,62047.69242
178,Norbert addition,1964,1964,3263.231962,396042.9881
179,Mountain view meadows,1972,1972,2103.354739,263102.0195
180,Morgans resubdivision,1978,1978,1281.801837,93428.93461
181,Kidd addition 2,1975,1975,885.8641442,49028.72269
182,Olander and Forbes redivision,1954,1954,2586.83499,417996.7613
183,Morgan and Forbes division,1952,1952,2667.151025,444602.0062
184,Forbes division,1951,1951,2650.291282,438688.7271
185,Loomiller and Forbes addition,1956,1956,3794.271864,736686.0301
