OBJECTID_1,YearAnnexed_num,majorTreeType,inGreenwayBuffer
1,2004,Hackberry,0
2,2004,Hackberry,0
3,2004,Pine,0
4,2004,Hackberry,0
5,,Ash,0
6,,Filbert,0
7,,Filbert,0
8,,Ash,0
9,,Oak,0
10,,Oak,0
11,2004,Pine,0
12,2004,Pine,0
13,2004,Spruce,0
14,2004,Spruce,0
15,2004,Spruce,0
16,2004,Spruce,0
17,2004,Juniper,0
18,2004,Juniper,0
19,2004,Juniper,0
20,2004,Juniper,0
21,2004,Pine,0
22,2004,Pine,0
23,2004,Pine,0
24,2004,Spruce,0
25,1996,Locust,0
26,1996,Locust,0
27,1996,Linden,0
28,1996,Linden,0
29,1996,Apple,0
30,1996,Apple,0
31,1996,Apple,0
32,1996,Apple,0
33,1996,Pine,0
34,1996,Pine,0
35,1996,Cherry,0
36,1996,Cherry,0
37,1996,Cherry,0
38,1996,Cherry,0
39,1996,Apple,0
40,1996,Apple,0
41,1996,Apple,0
42,1996,Apple,0
43,1996,Oak,0
44,1996,Linden,0
45,1996,Linden,0
46,1996,Pine,0
47,1996,Pine,0
48,1996,Pine,0
49,1996,Pine,0
50,1996,Pine,0
51,1996,Pine,0
52,1996,Pine,0
53,1996,Locust,0
54,1996,Locust,0
55,1996,Locust,0
56,1996,Locust,0
57,1996,Locust,0
58,1996,Locust,0
59,1996,Oak,0
60,1996,Oak,0
61,1996,Oak,0
62,1996,Oak,0
63,1996,Oak,0
64,1996,Oak,0
65,1996,Catalpa,0
66,1996,Catalpa,0
67,1996,Apple,0
68,1996,Apple,0
69,1996,Apple,0
70,1996,Apple,0
71,1996,Apple,0
72,1996,Linden,0
73,1996,Maple,0
74,1996,Locust,0
75,1996,Spruce,0
76,1996,Spruce,0
77,1996,Spruce,0
78,1996,Oak,0
79,1996,Locust,0
80,1996,Locust,0
81,1996,Oak,0
82,1996,Oak,0
83,1996,Oak,0
84,1996,Locust,1
85,1996,Locust,1
86,1996,Locust,1
87,1996,Elm,0
88,1996,Oak,0
89,1996,Oak,0
90,1996,Oak,0
91,1996,Locust,0
92,1996,Oak,0
93,1996,Oak,0
94,1996,Oak,0
95,1996,Oak,0
96,1996,Oak,0
97,1996,Plum,0
98,1996,Plum,0
99,1996,Locust,0
100,1996,Locust,0
101,1996,Locust,0
102,1996,Oak,0
103,1996,Locust,0
104,1996,Oak,0
105,1996,Juniper,0
106,1996,Juniper,0
107,1996,Juniper,0
108,1996,Juniper,0
109,1996,Juniper,0
110,1996,Oak,0
111,1996,Oak,0
112,1996,Juniper,0
113,1996,Juniper,0
114,1996,Juniper,0
115,1996,Hackberry,0
116,1996,Hackberry,0
117,1996,,0
118,1996,,0
119,1996,,0
120,1996,,0
121,1996,,0
122,1996,Oak,0
123,1996,Oak,0
124,1996,Pine,0
125,1996,Pine,0
126,1996,Pine,0
127,1996,Locust,0
128,1996,Locust,0
129,1996,Pine,0
130,1996,Pine,0
131,1996,Pine,0
132,1982,Locust,0
133,1982,Ash,0
134,1982,Apple,0
135,1982,Apple,0
136,1982,Apple,0
137,1982,Apple,0
138,1982,Ash,0
139,1982,Locust,0
140,1982,Pine,0
141,1982,Pine,0
142,1982,Pine,0
143,1982,Oak,0
144,1982,Oak,0
145,1982,Oak,0
146,,Hackberry,0
147,1997,Hackberry,0
148,1997,Oak,0
149,1997,Oak,0
150,,Oak,0
151,1982,Linden,0
152,1982,Apple,0
153,1982,Apple,0
154,1982,Linden,0
155,1982,Cottonwood,0
156,1982,Cottonwood,0
157,1982,Cottonwood,0
158,1982,Locust,0
159,1982,Cottonwood,0
160,1982,Cottonwood,0
161,1982,Maple,0
162,1982,Maple,0
163,1982,Spruce,0
164,1982,Locust,0
165,1982,Locust,0
166,1982,Locust,0
167,1982,Spruce,0
168,1982,Linden,0
169,1982,Spruce,0
170,1982,Spruce,0
171,1982,Spruce,0
172,1982,Linden,0
173,1982,,0
174,1982,Spruce,0
175,1982,Apple,0
176,1982,Apple,0
177,1982,Spruce,0
178,1982,Spruce,0
179,1982,Spruce,0
180,1982,Spruce,0
181,1982,Spruce,0
182,1982,Spruce,0
183,1982,Apple,0
184,1982,Apple,0
185,1982,Linden,0
186,1982,Apple,0
187,1982,Apple,0
188,1982,Linden,0
189,1982,Linden,0
190,1982,Linden,0
191,1982,Apple,0
192,1982,Apple,0
193,1982,Linden,0
194,1982,Linden,0
195,1982,Linden,0
196,1982,Linden,0
197,1982,Linden,0
198,1982,Ash,0
199,1982,Ash,0
200,1982,Ash,0
201,1982,Pear,0
202,1982,Ash,0
203,1982,Ash,0
204,1982,Ash,0
205,1982,Pine,1
206,1982,Pine,1
207,1982,Pine,1
208,1982,Pine,1
209,1982,Pine,1
210,1982,Hackberry,1
211,1982,Cottonwood,1
212,1982,Cottonwood,1
213,1982,Hackberry,1
214,1982,Cottonwood,1
215,1982,Linden,1
216,1982,Linden,1
217,1982,Locust,1
218,1982,Locust,1
219,1982,Apple,1
220,1982,Apple,1
221,1982,Apple,1
222,1982,Apple,1
223,1982,Apple,1
224,1982,Pine,1
225,1982,Pine,1
226,1982,Pine,1
227,1982,Pine,1
228,1982,Coffee tree,1
229,1982,Coffee tree,1
230,1982,Coffee tree,1
231,1982,Pine,1
232,1982,Pine,1
233,1982,Pine,1
234,1982,Pine,1
235,1982,Catalpa,1
236,1982,Catalpa,1
